File;Accuracy;Precision;Recall
match_results_edit_dist_thresh_80_feast_tolerance_2.csv;0.62;0.625;0.625

;Gold Standard Match; System Match
True Positives
d5e94352Heiligenlexikon-1858;Q3855076;Q3855076
d5e131894Heiligenlexikon-1858;Q170503;Q170503
d3e321505Heiligenlexikon-1858;Q3761242;Q3761242
d3e401079Heiligenlexikon-1858;Q1171057;Q1171057
d3e60557Heiligenlexikon-1858;Q167477;Q167477

True Negatives
d5e94865Heiligenlexikon-1858;;
d3e147617Heiligenlexikon-1858;;
d5e18584Heiligenlexikon-1858;;
d3e205046Heiligenlexikon-1858;;
d5e96404Heiligenlexikon-1858;;
d3e177449Heiligenlexikon-1858;;
d3e196703Heiligenlexikon-1858;;
d5e320528Heiligenlexikon-1858;;
d3e236574Heiligenlexikon-1858;;
d5e108603Heiligenlexikon-1858;;
d3e218526Heiligenlexikon-1858;;
d3e333569Heiligenlexikon-1858;;
d5e146481Heiligenlexikon-1858;;
d3e300221Heiligenlexikon-1858;;
d5e220619Heiligenlexikon-1858;;
d3e184242Heiligenlexikon-1858;;
d5e288987Heiligenlexikon-1858;;
d5e145954Heiligenlexikon-1858;;
d5e212059Heiligenlexikon-1858;;
d3e68866Heiligenlexikon-1858;;
d3e52329Heiligenlexikon-1858;;
d5e224901Heiligenlexikon-1858;;
d3e245535Heiligenlexikon-1858;;
d3e551467Heiligenlexikon-1858;;
d5e96722Heiligenlexikon-1858;;
d5e352592Heiligenlexikon-1858;;

False Positives
d5e111476Heiligenlexikon-1858;;Q733961
d3e349781Heiligenlexikon-1858;;Q1540238
d5e100967Heiligenlexikon-1858;;Q80604
d5e402499Heiligenlexikon-1858;;Q11681449
d3e344556Heiligenlexikon-1858;;Q149727
d5e399777Heiligenlexikon-1858;;Q3340821
d5e56226Heiligenlexikon-1858;;Q872406
d3e102421Heiligenlexikon-1858;Q236326;Q1272204
d5e397250Heiligenlexikon-1858;;Q499836
d5e152369Heiligenlexikon-1858;;Q920309
d3e440659Heiligenlexikon-1858;;Q2361811
d5e158784Heiligenlexikon-1858;;Q3895784
d5e291874Heiligenlexikon-1858;;Q2275313
d5e19682Heiligenlexikon-1858;;Q532119
d3e138529Heiligenlexikon-1858;;Q2957849
d5e177875Heiligenlexikon-1858;;Q33923

False Negatives
d5e404388Heiligenlexikon-1858;Q2693006;
d5e151127Heiligenlexikon-1858;Q273705;
d5e225483Heiligenlexikon-1858;Q16208335;
